epoch,train,val
1,389.4924131536281,0.17328552972525352
2,0.17617783807551995,0.15055485536559268
3,0.15999215846868142,0.17926173559175096
4,0.14788428050863572,0.13374288449708654
5,0.1366252421701645,0.13313072359117745
6,0.1255531163819709,0.15206531302430318
7,0.13170755904031636,0.12092207859341915
8,0.12272837224648077,0.14681605121264085
9,0.11679273041729286,0.11500921284851548
10,0.12163920002013438,0.12182355674270262
11,0.1187985591155448,0.10238299791486222
12,0.11816865096116735,0.11599984952391919
13,0.11262680959558975,0.11493513406111067
14,0.10841938494560072,0.11264591343772525
15,0.11461234329560188,0.09874161655369856
16,0.10832519082769287,0.11022896577747401
17,0.10650224170551269,0.11525676929320279
18,0.10816002629829105,0.10553409370808647
19,0.10407169200096884,0.12562636670441582
20,0.10442535343169126,0.09719548411344966
21,0.09950530983861797,0.09770815298605989
22,0.10372810232677825,0.10422082409370118
23,0.10415008943900597,0.10284194434491489
24,0.09793639552812147,0.09585373841082813
25,0.09970760323047918,0.09496077576293971
26,0.09852665141419378,0.09637255392467171
27,0.10409446097445356,0.0913858587488245
28,0.0981315991133374,0.09721346572757897
29,0.09595598257649847,0.10343374408745716
30,0.09539197361342386,0.0963749652302179
31,0.09635465106070941,0.0955798151824049
32,0.09854128820427846,0.09405144491412035
33,0.09681075371862374,0.10463419157151989
34,0.09836218433755599,0.09282079322765077
35,0.09323820718579737,0.08279344068052107
36,0.09252916195638695,0.09193279101226765
37,0.09425996338107032,0.09545301304306263
38,0.09441552095597541,0.08864403176228876
39,0.09236839617034305,0.09225753874697082
40,0.09213890865011805,0.08529307109232134
41,0.08649466257367526,0.09197002646620742
42,0.09360775726919049,0.09343852053091933
43,0.09000388277829034,0.08521151198074223
44,0.08977505387282972,0.08627952229195777
45,0.08918904099611502,0.08875495623689723
46,0.08703108461232076,0.08467744102898554
47,0.08918864099690743,0.08562826673177858
48,0.09137752711493877,0.08396325348052558
49,0.08889755826133676,0.08878389874043371
50,0.08799543594196951,0.08943198932979542
51,0.09107491620433207,0.09463778808480118
52,0.08858263154260582,0.09440619384225178
53,0.08912703673261826,0.0827149726656409
54,0.08761315773346766,0.08208143113986945
55,0.08868581263164974,0.08250255191197195
56,0.08592330932785039,0.087945176497854
57,0.08734143267798711,0.08707938601083766
58,0.0843106385784521,0.08763230997925767
59,0.08747228856337713,0.08284416799111158
60,0.08430721820742026,0.08124938957805099
61,0.08543607907664263,0.09788728339275211
62,0.08342392718527213,0.08953120129720239
63,0.08513057302150995,0.08178700690623375
64,0.08525744355341791,0.08290236037385723
65,0.08350804844569623,0.08206659046861413
66,0.08421392016153502,0.08157238977459759
67,0.08422958403142322,0.0816568138162032
68,0.08368639449238505,0.08172050765178245
69,0.08369319298813357,0.08448661484576474
70,0.0852437701530004,0.07683897951922306
71,0.08404757022536742,0.0860923871290512
72,0.08357644156986925,0.07994532586003722
73,0.0814271022444327,0.07871555864631834
74,0.08403607661055239,0.07888065065507986
75,0.08110304847361882,0.07689598943572488
76,0.08186851688881291,0.0784734645208272
77,0.08175422414150056,0.08299324834146174
78,0.08153402241194754,0.07867196605200516
79,0.08168585799739843,0.08040800063136534
80,0.07966350662772737,0.0782719929208263
81,0.08198065965228606,0.08189863955440854
82,0.08334079889332273,0.07741197029092851
83,0.07967511759442243,0.07831069729165525
84,0.08099674595396633,0.07967395607883543
85,0.0812679875579307,0.0738881522427814
86,0.08014254207199202,0.07893705789357996
87,0.07965303986756184,0.07412650924928203
88,0.07835548921289909,0.08247201435697772
89,0.0807752768854461,0.08067988481497966
90,0.08098242391174677,0.08069792452590688
91,0.0790083309068049,0.07999158676624156
92,0.07898417546928244,0.08359590009141424
93,0.08188257997385034,0.07892392518473433
94,0.0789879502182054,0.0765746736868571
95,0.07827529993745064,0.07398537278766382
96,0.07692380316439085,0.07559768546730852
97,0.07967978940383647,0.07734596288565972
98,0.0777635697955335,0.0773726897941042
99,0.07915165908036192,0.07372094538850851
100,0.07768500423325767,0.07490646638334371
101,0.0772513250294755,0.08249386318744374
102,0.076882413827779,0.08010549290374354
103,0.07480945282968395,0.08836033940207788
104,0.0790948819378917,0.07676974551582061
105,0.07812445497994559,0.08001015595411172
