epoch,train,val
1,0.1303295408563078,3.1429276366968852
2,0.11039166335969276,4.47089193392939
3,0.1021935020341799,5.309543714109951
4,0.10499177795683395,29191346.21164777
5,0.09448162268262318,260320207821085.16
6,0.09638710104374133,9.24966317936993
7,0.09354245754628993,8784911384.505552
8,0.09235460552941142,
9,0.09271508546743008,
10,0.08822270000076056,
11,0.09012604211173116,
12,0.08646093548419223,
13,0.08265200474732284,
14,0.08191740134267063,
15,0.08231201218041649,
16,0.07962928601057971,
17,0.0800376884570435,
18,0.08123001774506967,
19,0.08034940969896763,
20,0.08067881146739107,
21,0.07953502769337628,
22,0.08022801513439791,
23,0.08067902119780092,
24,0.07857627223781333,
25,0.07754006196664844,
26,0.08136325074922772,
